Torque cutting wheel (MN*m),Pressure force cutting wheel (kN),Thrust force (kN),Torque screw (kN*m),Cutting wheel speed of rotation (rpm),Thrust pressure (bar),Earth pressure (bar),Pressure foam lance (bar),Excavated material flow (t/h),Penetration rate (mm/rpm)
5.192522727,13259.40066,29432.59783,4.937439311,2.322215496,211.0716135,2.863264752,1.159581006,74.22161316,4.058447674
7.131947368,10016.15431,35144.58312,7.834468705,2.066132512,293.799659,2.543668281,1.362721755,138.5785582,6.290413146
8.211370826,6905.966608,26257.5099,23.94834983,0.431922366,247.5505882,1.78737259,1.151617375,166.3152941,38.71372016
3.276163594,3574.715084,17864.85893,10.23824451,0.163730408,178.0219436,1.649984038,1.158938547,208.3793103,280.1703128
7.087181373,11164.92776,41760.73426,6.831968992,2.148861689,332.44157,1.913248848,1.319240838,105.4730878,6.046668928
5.204950604,9537.01559,39813.31195,3.171572872,2.217060041,286.0655249,2.81094597,1.55912137,64.93095768,4.974648241
6.206373547,10957.36294,34828.71536,13.4051076,1.764403131,334.840213,1.914754797,1.181072106,92.2544407,9.948062635
6.648911419,11434.48026,40394.22766,10.06958384,2.127191837,341.3220339,2.666336134,1.573439412,82.82663092,2.700188651
6.558617021,10730.22788,35087.25862,8.22423221,2.146389634,269.4449649,2.298223486,1.964498299,105.26109,5.789689944
4.36638796,11243.38462,41638.18172,-0.080233766,2.238316611,332.3740416,1.913248848,1.12806685,39.04107338,2.748868488
5.781585557,6591.848943,22389.67632,9.643888889,0.407372549,187.3492063,2.00174216,1.183027523,134.2513761,51.61211468
8.211370826,9174.399306,38545.60417,6.958685714,2.013864943,304.4992948,2.263431903,1.99371408,105.2464183,4.6872838
6.180941176,4834.624413,22590.86408,16.13623377,2.164078947,180.0873786,2.268507519,2.036838624,251.498008,15.43308148
4.364984894,9369.819838,40511.49423,6.075826087,2.919174664,338.7300613,2.198151078,2.244413717,65.54263566,3.312156678
8.274258721,8254.154867,27721.07832,8.358590504,1.944937063,229.1267218,2.829017224,2.14730826,104.6415929,6.158983895
7.108537271,10197.79777,42920.24305,7.454957507,2.340905563,339.4355017,2.896761107,1.573439412,94.59161677,4.739531212
7.907436893,10220.70865,35190.7449,5.037734878,2.021377551,269.1340136,2.445641086,1.978276081,98.0978121,5.437934363
3.215530726,10143.58797,28655.58993,8.08131899,2.224689339,248.4964029,2.054050302,2.246724138,84.61581292,4.340011918
5.913278571,6769.568266,39603.64789,16.74601208,0.421722054,338.5621181,2.227150579,2.35727459,218.3685801,72.80485313
5.582371871,6541.360795,27196.39437,22.06654135,0.374965753,258.2403101,1.881952676,1.204456193,105.4392765,46.78942308
7.644846797,8995.183844,28167.95543,9.505889831,2.0545961,212.0719424,2.924143415,1.98477306,154.4810924,7.713349123
7.912431562,7335.546778,33897.87573,16.08201663,1.986256591,262.728281,2.685274142,3.022889843,110.6452074,6.337832618
7.261599147,7426.809615,35957.76623,14.5051046,2.041029703,272.7814776,2.542884139,1.759550147,113.9719764,6.120520863
8.106859624,7510.134809,29244.29941,14.819625,2.081013986,272.6143498,2.516141215,1.8705033,188.6824147,9.696490698
7.774143599,4826.477046,25415.8284,45.49326489,1.994864865,188.3858785,2.153200292,2.252567568,164.3272727,9.11887526
7.405149171,10692.16522,33573.0942,13.24362039,2.06755443,294.3128492,2.941663622,2.478880071,126.4779412,6.618099511
7.061524008,9564.725894,42133.85699,9.186267218,2.049668508,324.597973,2.181606501,1.460853041,97.91090426,5.270729275
5.454092873,12322.41047,23787.21475,7.587926267,2.273811286,180.96054,1.969044664,1.885078873,74.71692877,3.667873454
8.190911641,7869.481066,40746.46844,36.13594872,1.5306,304.2276843,2.193762401,2.164126712,158.186,9.104758303
6.615051867,5763.636943,27071.26116,20.63189831,2.140472441,207.3611794,2.336847926,1.730835381,209.9411765,11.39889595
7.93964557,9140.362025,34852.42925,16.55255696,2.03964557,300.8330684,2.158448699,1.809925558,124.43058,6.801092233
2.978507171,3508.652038,17864.85893,10.23824451,0.201396648,189.9045643,1.649984038,1.120924765,350.3641304,275.0782696
8.38709901,11982.43032,35041.72861,9.107874251,2.077938719,273.0588785,2.287329773,1.916052632,133.6073298,7.96618985
4.549936306,11674.32126,31952.72941,10.86210677,2.517497594,296.0533842,1.963450906,1.365467112,57.74871039,3.314684157
8.036677524,7147.73839,33077.84323,18.82821981,2.047181688,210.7585139,2.70182064,1.848715891,116.5397412,7.388186131
8.306643357,6747.452055,26978.26586,23.94834983,1.903540587,195.8623327,2.086963696,2.164126712,129.2163543,6.854775891
5.738310038,12404.44763,31595.36601,2.348485455,1.99644,230.1884927,2.781579892,1.731829441,45.05219454,4.963383085
5.931264546,13658.6648,30613.38133,6.424120425,2.149957143,241.8653333,2.060175882,1.875566955,45.63822894,2.305316547
5.378641827,11522.75689,24170.14245,17.11716049,2.170911681,194.3933333,1.949825397,1.825832562,53.38732854,2.793523263
4.784351852,8047.935185,40323.50327,7.326535948,3.537374214,340.5748614,2.146504593,2.329805915,50.6321608,3.183168224
7.607680851,11735.57872,27100.08298,6.078255319,2.026244681,212.0009606,2.571235355,2.074378453,105.90625,5.686748619
7.257176259,9202.069405,32170.44811,17.73068515,2.130433996,230.1899736,2.656903461,2.045723104,167.4463415,9.936719512
7.14089697,11914.82538,43714.12692,0.680692149,2.095346154,321.4153846,2.25893956,1.829576923,67.65170068,4.822049697
7.835730337,11464.36391,36003.03393,11.21421053,2.060296736,326.5994475,1.97670932,2.365592448,87.92957746,3.961465753
6.052121923,11929.9374,40958.06625,5.492808163,2.552975048,333.2554162,2.370171372,1.360285714,55.79627164,3.134233588
7.629354167,7600.33125,32828.02519,16.4489648,2.059337017,212.3026316,2.066270627,2.427185792,120.7532468,6.988991409
